dur_ns,ecdf
13067216,0.328
13067216,0.3293333333333333
13067218,0.33066666666666666
13067218,0.332
13067220,0.3333333333333333
13067220,0.33466666666666667
13067235,0.336
13067236,0.3373333333333333
13067247,0.33866666666666667
13067248,0.34
13067259,0.3413333333333333
13067271,0.3426666666666667
13067279,0.344
13067279,0.3453333333333333
13067283,0.3466666666666667
13067295,0.348
13067304,0.34933333333333333
13067317,0.3506666666666667
13067329,0.352
13067356,0.35333333333333333
13067379,0.3546666666666667
13067379,0.356
13067382,0.35733333333333334
13067382,0.3586666666666667
13067382,0.36
13067382,0.36133333333333334
13067382,0.3626666666666667
13067382,0.364
13067414,0.36533333333333334
13067449,0.36666666666666664
13067465,0.368
13067473,0.36933333333333335
13067513,0.37066666666666664
13067564,0.372
13067564,0.37333333333333335
