mix_id,flow_id,size,slowdown,sim
0,71,71071,1.4637728927230518,Ns3
0,115,30891,1.3596729490022172,Ns3
0,160,4889,1.0046161092793218,Ns3
0,158,2321,1.074424342105263,Ns3
0,14,104574,1.511053874221936,Ns3
0,167,145,1.0051993067590987,Ns3
0,166,286,1.0047355958958168,Ns3
0,159,16769,1.0064500858038936,Ns3
0,102,48672,1.3817490046872856,Ns3
0,163,1813,1.0036701946056674,Ns3
0,165,585,1.0835546702080567,Ns3
0,132,45279,1.0468247723951893,Ns3
0,112,39702,1.419152998550758,Ns3
0,171,143,1.0060763888888888,Ns3
0,168,1185,1.00374531835206,Ns3
0,170,1400,1.015545406639733,Ns3
0,175,397,1.0044247787610618,Ns3
0,169,2211,1.0898774022531479,Ns3
0,96,57191,1.4790527293364977,Ns3
0,178,146,1.0051948051948052,Ns3
0,172,1051,1.0038717810192688,Ns3
0,173,9277,1.0062975843594322,Ns3
0,179,302,1.0046875,Ns3
0,176,3359,1.0054606306147613,Ns3
0,161,16796,1.268333882663151,Ns3
0,177,1189,1.0041108606285638,Ns3
0,184,3140,1.005452562704471,Ns3
0,62,96263,1.4981295248993245,Ns3
0,162,39578,1.006857301499167,Ns3
0,185,148,1.0060553633217992,Ns3
0,180,1509,1.0037479299224266,Ns3
0,193,1390,1.0044709388971684,Ns3
0,181,6520,1.0170056685561855,Ns3
0,194,2088,1.0054089138900908,Ns3
0,191,504,1.0048577376821652,Ns3
0,182,5959,1.0409244938743591,Ns3
0,190,1578,1.0039480387162507,Ns3
0,201,148,1.0060553633217992,Ns3
0,186,2754,1.011593507635724,Ns3
0,202,288,1.26301261829653,Ns3
0,68,142254,1.1088023156873503,Ns3
0,189,3520,1.0041039671682626,Ns3
0,198,1975,1.0234678372446395,Ns3
0,197,3176,1.004269523365937,Ns3
0,210,146,1.0051948051948052,Ns3
0,207,3922,1.0050595723845275,Ns3
0,214,294,1.0054988216810683,Ns3
0,206,303,1.0364583333333333,Ns3
0,208,1227,1.2793324775353017,Ns3
0,218,291,1.004720692368214,Ns3
0,211,851,1.0603548574752764,Ns3
0,87,90493,1.474895981032519,Ns3
0,195,12662,1.0190265699322538,Ns3
0,174,25446,1.2312424684467558,Ns3
0,204,4441,1.004378409417169,Ns3
0,203,9496,1.0187025534851621,Ns3
0,133,93420,1.0070243758164297,Ns3
0,216,973,1.0038546255506609,Ns3
0,215,1366,1.0067690705545431,Ns3
0,221,299,1.005481597494127,Ns3
0,209,2456,1.007906749266384,Ns3
0,196,22494,1.1544663011931635,Ns3
0,222,150,1.005181347150259,Ns3
0,217,3168,1.0042715128922026,Ns3
0,219,1829,1.003666126694518,Ns3
0,227,2009,1.0054836586970828,Ns3
0,235,294,1.0054988216810683,Ns3
0,231,145,1.0051993067590987,Ns3
0,226,4920,1.0051694428489375,Ns3
0,225,448,1.0050143266475644,Ns3
0,223,2053,1.004101791394609,Ns3
0,183,19357,1.579269907319841,Ns3
0,239,978,1.0038461538461538,Ns3
0,224,1433,1.0037679635471433,Ns3
0,230,2864,1.004148447135329,Ns3
0,237,146,1.0051948051948052,Ns3
0,229,284,1.3624505928853754,Ns3
0,244,288,1.0055205047318612,Ns3
0,228,1437,1.003766973280771,Ns3
0,212,13831,1.2671440374552465,Ns3
0,232,2248,1.0080152040984962,Ns3
0,236,1126,1.0038509761776822,Ns3
0,238,9146,1.0063603569394342,Ns3
0,241,658,1.0044757033248082,Ns3
0,249,571,1.0040133779264213,Ns3
0,250,570,1.0040160642570282,Ns3
0,233,8253,1.0161666861211627,Ns3
0,246,782,1.0036057692307692,Ns3
0,243,1695,1.0036138358286009,Ns3
0,54,134991,1.538390424289607,Ns3
0,253,305,1.1216848673946958,Ns3
0,252,930,1.0033670033670035,Ns3
0,242,4602,1.0043382405234336,Ns3
0,247,288,1.0055205047318612,Ns3
0,245,1789,1.0036761562793879,Ns3
0,257,948,1.0038975501113585,Ns3
0,248,1366,1.0037858777953865,Ns3
0,254,7857,1.0058343057176196,Ns3
0,251,1910,1.0076309988129557,Ns3
0,258,2011,1.0103205439533753,Ns3
0,261,1407,1.0047041346868038,Ns3
0,255,1523,1.0037443399512365,Ns3
0,187,72014,1.0478306945257263,Ns3
0,44,241852,1.0070992384984065,Ns3
0,199,65547,1.0285724174930342,Ns3
0,271,282,1.004746835443038,Ns3
0,256,3517,1.1598631698973774,Ns3
0,270,784,1.2003003003003003,Ns3
0,263,2123,1.0044439106413643,Ns3
0,264,288,1.0055205047318612,Ns3
0,260,2197,1.004062681369704,Ns3
0,262,1675,1.0036188178528347,Ns3
0,276,297,1.0047021943573669,Ns3
0,273,812,1.0035545023696681,Ns3
