RDMA MTP: Optimizing for 256 threads
[server rdma_send] t=502099118 ns reqId=2000002 size=204808B client_node_id=2
[server rdma_send] t=502104650 ns reqId=5000002 size=204808B client_node_id=5
[server rdma_send] t=502110134 ns reqId=3000002 size=204808B client_node_id=3
[server rdma_send] t=502130928 ns reqId=6000002 size=204808B client_node_id=6
[server rdma_send] t=502136412 ns reqId=8000002 size=204808B client_node_id=8
[server rdma_send] t=502141944 ns reqId=10000002 size=204808B client_node_id=10
[server rdma_send] t=502147476 ns reqId=7000002 size=204808B client_node_id=7
[server rdma_send] t=502153008 ns reqId=9000002 size=204808B client_node_id=9
[server rdma_send] t=502158540 ns reqId=11000002 size=204808B client_node_id=11
[client rdma_recv] t=503648216 ns reqId=4000002 size=204808B client_node_id=4
[client req_send] t=503650716 ns reqId=4000003 size=17B client_node_id=4
[server req_recv] t=503651820 ns reqId=4000003 size=17B client_node_id=4
[client rdma_recv] t=503812230 ns reqId=1000002 size=204808B client_node_id=1
[client req_send] t=503814730 ns reqId=1000003 size=17B client_node_id=1
[server req_recv] t=503816938 ns reqId=1000003 size=17B client_node_id=1
[client rdma_recv] t=503817714 ns reqId=2000002 size=204808B client_node_id=2
[client req_send] t=503820214 ns reqId=2000003 size=17B client_node_id=2
[server req_recv] t=503822422 ns reqId=2000003 size=17B client_node_id=2
[client rdma_recv] t=503823198 ns reqId=5000002 size=204808B client_node_id=5
[client req_send] t=503825698 ns reqId=5000003 size=17B client_node_id=5
[server req_recv] t=503827906 ns reqId=5000003 size=17B client_node_id=5
[client rdma_recv] t=503828682 ns reqId=3000002 size=204808B client_node_id=3
[client req_send] t=503831182 ns reqId=3000003 size=17B client_node_id=3
[server req_recv] t=503833390 ns reqId=3000003 size=17B client_node_id=3
[client rdma_recv] t=503893262 ns reqId=6000002 size=204808B client_node_id=6
[client req_send] t=503895762 ns reqId=6000003 size=17B client_node_id=6
[client rdma_recv] t=503898746 ns reqId=8000002 size=204808B client_node_id=8
[server req_recv] t=503899074 ns reqId=6000003 size=17B client_node_id=6
[client req_send] t=503901246 ns reqId=8000003 size=17B client_node_id=8
[client rdma_recv] t=503904230 ns reqId=10000002 size=204808B client_node_id=10
[server req_recv] t=503904558 ns reqId=8000003 size=17B client_node_id=8
[client req_send] t=503906730 ns reqId=10000003 size=17B client_node_id=10
[client rdma_recv] t=503909714 ns reqId=7000002 size=204808B client_node_id=7
[server req_recv] t=503910042 ns reqId=10000003 size=17B client_node_id=10
[client req_send] t=503912214 ns reqId=7000003 size=17B client_node_id=7
[client rdma_recv] t=503915198 ns reqId=9000002 size=204808B client_node_id=9
[server req_recv] t=503915526 ns reqId=7000003 size=17B client_node_id=7
[client req_send] t=503917698 ns reqId=9000003 size=17B client_node_id=9
[client rdma_recv] t=503920682 ns reqId=11000002 size=204808B client_node_id=11
[server req_recv] t=503921010 ns reqId=9000003 size=17B client_node_id=9
[client req_send] t=503923182 ns reqId=11000003 size=17B client_node_id=11
[server req_recv] t=503926494 ns reqId=11000003 size=17B client_node_id=11
[server resp_send] t=753651820 ns reqId=4000003 size=41B client_node_id=4
[client resp_recv] t=753652962 ns reqId=4000003 size=41B client_node_id=4
[client hand_send] t=753652962 ns reqId=4000003 size=10B client_node_id=4
[server hand_recv] t=753654104 ns reqId=4000003 size=10B client_node_id=4
[server rdma_send] t=753804104 ns reqId=4000003 size=204808B client_node_id=4
[server resp_send] t=753816938 ns reqId=1000003 size=41B client_node_id=1
[client resp_recv] t=753820864 ns reqId=1000003 size=41B client_node_id=1
[client hand_send] t=753820864 ns reqId=1000003 size=10B client_node_id=1
[server resp_send] t=753822422 ns reqId=2000003 size=41B client_node_id=2
[server hand_recv] t=753823102 ns reqId=1000003 size=10B client_node_id=1
[server resp_send] t=753827906 ns reqId=5000003 size=41B client_node_id=5
[client resp_recv] t=753828221 ns reqId=2000003 size=41B client_node_id=2
[client hand_send] t=753828221 ns reqId=2000003 size=10B client_node_id=2
[server hand_recv] t=753830459 ns reqId=2000003 size=10B client_node_id=2
[server resp_send] t=753833390 ns reqId=3000003 size=41B client_node_id=3
[client resp_recv] t=753835578 ns reqId=5000003 size=41B client_node_id=5
[client hand_send] t=753835578 ns reqId=5000003 size=10B client_node_id=5
[server hand_recv] t=753837816 ns reqId=5000003 size=10B client_node_id=5
[client resp_recv] t=753842935 ns reqId=3000003 size=41B client_node_id=3
[client hand_send] t=753842935 ns reqId=3000003 size=10B client_node_id=3
[server hand_recv] t=753845173 ns reqId=3000003 size=10B client_node_id=3
[server resp_send] t=753899074 ns reqId=6000003 size=41B client_node_id=6
[server resp_send] t=753904558 ns reqId=8000003 size=41B client_node_id=8
[client resp_recv] t=753909338 ns reqId=6000003 size=41B client_node_id=6
[client hand_send] t=753909338 ns reqId=6000003 size=10B client_node_id=6
[client resp_recv] t=753909409 ns reqId=8000003 size=41B client_node_id=8
[client hand_send] t=753909409 ns reqId=8000003 size=10B client_node_id=8
[server resp_send] t=753910042 ns reqId=10000003 size=41B client_node_id=10
[server hand_recv] t=753912672 ns reqId=6000003 size=10B client_node_id=6
[server hand_recv] t=753912766 ns reqId=8000003 size=10B client_node_id=8
[server resp_send] t=753915526 ns reqId=7000003 size=41B client_node_id=7
[client resp_recv] t=753916814 ns reqId=10000003 size=41B client_node_id=10
[client hand_send] t=753916814 ns reqId=10000003 size=10B client_node_id=10
[server hand_recv] t=753920148 ns reqId=10000003 size=10B client_node_id=10
[server resp_send] t=753921010 ns reqId=9000003 size=41B client_node_id=9
[client resp_recv] t=753924171 ns reqId=7000003 size=41B client_node_id=7
[client hand_send] t=753924171 ns reqId=7000003 size=10B client_node_id=7
[server resp_send] t=753926494 ns reqId=11000003 size=41B client_node_id=11
[server hand_recv] t=753927505 ns reqId=7000003 size=10B client_node_id=7
[client resp_recv] t=753931528 ns reqId=9000003 size=41B client_node_id=9
[client hand_send] t=753931528 ns reqId=9000003 size=10B client_node_id=9
[client resp_recv] t=753931599 ns reqId=11000003 size=41B client_node_id=11
[client hand_send] t=753931599 ns reqId=11000003 size=10B client_node_id=11
[server hand_recv] t=753934862 ns reqId=9000003 size=10B client_node_id=9
[server hand_recv] t=753934956 ns reqId=11000003 size=10B client_node_id=11
[server rdma_send] t=753973102 ns reqId=1000003 size=204808B client_node_id=1
[client rdma_recv] t=753978252 ns reqId=4000003 size=204808B client_node_id=4
[server rdma_send] t=753980459 ns reqId=2000003 size=204808B client_node_id=2
[client req_send] t=753980752 ns reqId=4000004 size=17B client_node_id=4
[server req_recv] t=753981856 ns reqId=4000004 size=17B client_node_id=4
[server rdma_send] t=753987816 ns reqId=5000003 size=204808B client_node_id=5
[server rdma_send] t=753995173 ns reqId=3000003 size=204808B client_node_id=3
[server rdma_send] t=754062672 ns reqId=6000003 size=204808B client_node_id=6
[server rdma_send] t=754062766 ns reqId=8000003 size=204808B client_node_id=8
[server rdma_send] t=754070148 ns reqId=10000003 size=204808B client_node_id=10
[server rdma_send] t=754077505 ns reqId=7000003 size=204808B client_node_id=7
[server rdma_send] t=754084862 ns reqId=9000003 size=204808B client_node_id=9
[server rdma_send] t=754084956 ns reqId=11000003 size=204808B client_node_id=11
[client rdma_recv] t=755439202 ns reqId=1000003 size=204808B client_node_id=1
[client req_send] t=755441702 ns reqId=1000004 size=17B client_node_id=1
[server req_recv] t=755443910 ns reqId=1000004 size=17B client_node_id=1
[client rdma_recv] t=755509876 ns reqId=2000003 size=204808B client_node_id=2
[client req_send] t=755512376 ns reqId=2000004 size=17B client_node_id=2
[server req_recv] t=755514584 ns reqId=2000004 size=17B client_node_id=2
[client rdma_recv] t=755515360 ns reqId=5000003 size=204808B client_node_id=5
[client req_send] t=755517860 ns reqId=5000004 size=17B client_node_id=5
[server req_recv] t=755520068 ns reqId=5000004 size=17B client_node_id=5
[client rdma_recv] t=755520844 ns reqId=3000003 size=204808B client_node_id=3
[client req_send] t=755523344 ns reqId=3000004 size=17B client_node_id=3
[server req_recv] t=755525552 ns reqId=3000004 size=17B client_node_id=3
[client rdma_recv] t=755628804 ns reqId=6000003 size=204808B client_node_id=6
[client req_send] t=755631304 ns reqId=6000004 size=17B client_node_id=6
[client rdma_recv] t=755634288 ns reqId=8000003 size=204808B client_node_id=8
[server req_recv] t=755634616 ns reqId=6000004 size=17B client_node_id=6
[client req_send] t=755636788 ns reqId=8000004 size=17B client_node_id=8
[client rdma_recv] t=755639772 ns reqId=10000003 size=204808B client_node_id=10
[server req_recv] t=755640100 ns reqId=8000004 size=17B client_node_id=8
[client req_send] t=755642272 ns reqId=10000004 size=17B client_node_id=10
[client rdma_recv] t=755645256 ns reqId=7000003 size=204808B client_node_id=7
[server req_recv] t=755645584 ns reqId=10000004 size=17B client_node_id=10
[client req_send] t=755647756 ns reqId=7000004 size=17B client_node_id=7
[client rdma_recv] t=755650740 ns reqId=9000003 size=204808B client_node_id=9
[server req_recv] t=755651068 ns reqId=7000004 size=17B client_node_id=7
[client req_send] t=755653240 ns reqId=9000004 size=17B client_node_id=9
[client rdma_recv] t=755656224 ns reqId=11000003 size=204808B client_node_id=11
[server req_recv] t=755656552 ns reqId=9000004 size=17B client_node_id=9
[client req_send] t=755658724 ns reqId=11000004 size=17B client_node_id=11
[server req_recv] t=755662036 ns reqId=11000004 size=17B client_node_id=11
[server resp_send] t=1003981856 ns reqId=4000004 size=41B client_node_id=4
[client resp_recv] t=1003982998 ns reqId=4000004 size=41B client_node_id=4
[client hand_send] t=1003982998 ns reqId=4000004 size=10B client_node_id=4
[server hand_recv] t=1003984140 ns reqId=4000004 size=10B client_node_id=4
[server rdma_send] t=1004134140 ns reqId=4000004 size=204808B client_node_id=4
[client rdma_recv] t=1004307098 ns reqId=4000004 size=204808B client_node_id=4
[client req_send] t=1004309598 ns reqId=4000005 size=17B client_node_id=4
[server req_recv] t=1004310702 ns reqId=4000005 size=17B client_node_id=4
[server resp_send] t=1005443910 ns reqId=1000004 size=41B client_node_id=1
[client resp_recv] t=1005446194 ns reqId=1000004 size=41B client_node_id=1
[client hand_send] t=1005446194 ns reqId=1000004 size=10B client_node_id=1
[server hand_recv] t=1005448432 ns reqId=1000004 size=10B client_node_id=1
[server resp_send] t=1005514584 ns reqId=2000004 size=41B client_node_id=2
[client resp_recv] t=1005516868 ns reqId=2000004 size=41B client_node_id=2
[client hand_send] t=1005516868 ns reqId=2000004 size=10B client_node_id=2
[server hand_recv] t=1005519106 ns reqId=2000004 size=10B client_node_id=2
[server resp_send] t=1005520068 ns reqId=5000004 size=41B client_node_id=5
[client resp_recv] t=1005522352 ns reqId=5000004 size=41B client_node_id=5
[client hand_send] t=1005522352 ns reqId=5000004 size=10B client_node_id=5
[server hand_recv] t=1005524590 ns reqId=5000004 size=10B client_node_id=5
[server resp_send] t=1005525552 ns reqId=3000004 size=41B client_node_id=3
[client resp_recv] t=1005527836 ns reqId=3000004 size=41B client_node_id=3
[client hand_send] t=1005527836 ns reqId=3000004 size=10B client_node_id=3
[server hand_recv] t=1005530074 ns reqId=3000004 size=10B client_node_id=3
[server rdma_send] t=1005598432 ns reqId=1000004 size=204808B client_node_id=1
[server resp_send] t=1005634616 ns reqId=6000004 size=41B client_node_id=6
[server resp_send] t=1005640100 ns reqId=8000004 size=41B client_node_id=8
[client resp_recv] t=1005645215 ns reqId=6000004 size=41B client_node_id=6
[client hand_send] t=1005645215 ns reqId=6000004 size=10B client_node_id=6
[server resp_send] t=1005645584 ns reqId=10000004 size=41B client_node_id=10
[server hand_recv] t=1005648549 ns reqId=6000004 size=10B client_node_id=6
[server resp_send] t=1005651068 ns reqId=7000004 size=41B client_node_id=7
[client resp_recv] t=1005652524 ns reqId=8000004 size=41B client_node_id=8
[client hand_send] t=1005652524 ns reqId=8000004 size=10B client_node_id=8
[server hand_recv] t=1005655858 ns reqId=8000004 size=10B client_node_id=8
[server resp_send] t=1005656552 ns reqId=9000004 size=41B client_node_id=9
[client resp_recv] t=1005659881 ns reqId=10000004 size=41B client_node_id=10
[client hand_send] t=1005659881 ns reqId=10000004 size=10B client_node_id=10
[server resp_send] t=1005662036 ns reqId=11000004 size=41B client_node_id=11
[server hand_recv] t=1005663215 ns reqId=10000004 size=10B client_node_id=10
[client resp_recv] t=1005667238 ns reqId=7000004 size=41B client_node_id=7
[client hand_send] t=1005667238 ns reqId=7000004 size=10B client_node_id=7
[client resp_recv] t=1005667309 ns reqId=9000004 size=41B client_node_id=9
[client hand_send] t=1005667309 ns reqId=9000004 size=10B client_node_id=9
[server rdma_send] t=1005669106 ns reqId=2000004 size=204808B client_node_id=2
[server hand_recv] t=1005670572 ns reqId=7000004 size=10B client_node_id=7
[server hand_recv] t=1005670666 ns reqId=9000004 size=10B client_node_id=9
[server rdma_send] t=1005674590 ns reqId=5000004 size=204808B client_node_id=5
[client resp_recv] t=1005674666 ns reqId=11000004 size=41B client_node_id=11
[client hand_send] t=1005674666 ns reqId=11000004 size=10B client_node_id=11
[server hand_recv] t=1005678000 ns reqId=11000004 size=10B client_node_id=11
[server rdma_send] t=1005680074 ns reqId=3000004 size=204808B client_node_id=3
