id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,p99__ns3__pmn_m,p99__ns3__mlsys,window,enable_pfc,param_1
11,Matrix C,CacheFollower,1.0,0.36787237542304263,0.37110609088770635,0.16059337707059548,2-to-1,0.01527826008675209,-0.0008988911493815519,27864.0,0.0,14.903275970025552
12,Matrix C,WebServer,2.0,0.7383383855483423,0.7700406156740287,0.325269561911615,2-to-1,0.16006379868444678,-0.12074061327983474,19788.0,1.0,19.153339865427032
13,Matrix B,Hadoop,2.0,0.5860334719877185,0.591899435235281,0.47742913258870195,4-to-1,0.16144231725870442,0.053989998660405436,22644.0,1.0,13.038465323034517
14,Matrix C,CacheFollower,2.0,0.2671581429794989,0.2689847849388525,0.11112382786220588,1-to-1,1.1665717740067312,-0.03685735847214857,6349.0,0.0,11.407559115199604
15,Matrix A,WebServer,2.0,0.6213051726408152,0.6529370250217466,0.5822289599255619,2-to-1,0.1625982824814439,-0.19652412626771656,17281.0,0.0,16.278272869565306
16,Matrix A,WebServer,1.0,0.409306522776384,0.43076241555513783,0.38411778418386383,2-to-1,0.18254817799643883,-0.19995000959967088,11648.0,1.0,11.114893530938973
17,Matrix B,WebServer,2.0,0.2590273444600284,0.2636001839279914,0.21635238788597794,2-to-1,0.04735802892172506,-0.1493224202840211,17278.0,1.0,7.588102318692224
18,Matrix A,WebServer,2.0,0.27197601043687214,0.28589346871728827,0.24106773643888035,1-to-1,0.19559569419446948,-0.055396526846388176,12810.0,0.0,11.733405857216574
19,Matrix C,Hadoop,1.0,0.46548395995167463,0.48174592848983067,0.19638509844413576,1-to-1,0.00566311103827951,-0.06829396747734608,22492.0,1.0,15.081173818367605
20,Matrix A,CacheFollower,2.0,0.42465960069254305,0.42440217298756777,0.27635751141884735,4-to-1,0.10357349910082901,-0.14741086931289157,28487.0,1.0,19.084166895104772
