RDMA MTP: Optimizing for 256 threads
[client req_send] t=17500 ns reqId=9000008 size=17B client_node_id=9
[client req_send] t=17500 ns reqId=10000008 size=17B client_node_id=10
[client req_send] t=17500 ns reqId=11000008 size=17B client_node_id=11
[server hand_recv] t=17613 ns reqId=1000003 size=10B client_node_id=1
[server rdma_send] t=17614 ns reqId=1000003 size=665608B client_node_id=1
[server hand_recv] t=17624 ns reqId=2000003 size=10B client_node_id=2
[server rdma_send] t=17625 ns reqId=2000003 size=665608B client_node_id=2
[server hand_recv] t=17635 ns reqId=5000003 size=10B client_node_id=5
[server rdma_send] t=17636 ns reqId=5000003 size=665608B client_node_id=5
[server hand_recv] t=17646 ns reqId=3000003 size=10B client_node_id=3
[server rdma_send] t=17647 ns reqId=3000003 size=665608B client_node_id=3
[server hand_recv] t=17786 ns reqId=4000005 size=10B client_node_id=4
[server rdma_send] t=17787 ns reqId=4000005 size=665608B client_node_id=4
[server hand_recv] t=18137 ns reqId=6000001 size=10B client_node_id=6
[server rdma_send] t=18138 ns reqId=6000001 size=665608B client_node_id=6
[server hand_recv] t=18175 ns reqId=8000001 size=10B client_node_id=8
[server rdma_send] t=18176 ns reqId=8000001 size=665608B client_node_id=8
[server hand_recv] t=18186 ns reqId=10000001 size=10B client_node_id=10
[server rdma_send] t=18187 ns reqId=10000001 size=665608B client_node_id=10
[server req_recv] t=18536 ns reqId=6000006 size=17B client_node_id=6
[server resp_send] t=18537 ns reqId=6000006 size=41B client_node_id=6
[server req_recv] t=18542 ns reqId=8000006 size=17B client_node_id=8
[server resp_send] t=18543 ns reqId=8000006 size=41B client_node_id=8
[server req_recv] t=18548 ns reqId=10000006 size=17B client_node_id=10
[server resp_send] t=18549 ns reqId=10000006 size=41B client_node_id=10
[server req_recv] t=18554 ns reqId=7000006 size=17B client_node_id=7
[server resp_send] t=18555 ns reqId=7000006 size=41B client_node_id=7
[server req_recv] t=18560 ns reqId=9000006 size=17B client_node_id=9
[server resp_send] t=18561 ns reqId=9000006 size=41B client_node_id=9
[server req_recv] t=18566 ns reqId=11000006 size=17B client_node_id=11
[server resp_send] t=18567 ns reqId=11000006 size=41B client_node_id=11
[server req_recv] t=19024 ns reqId=1000007 size=17B client_node_id=1
[server resp_send] t=19025 ns reqId=1000007 size=41B client_node_id=1
[server req_recv] t=19030 ns reqId=2000007 size=17B client_node_id=2
[server resp_send] t=19031 ns reqId=2000007 size=41B client_node_id=2
[server req_recv] t=19036 ns reqId=5000007 size=17B client_node_id=5
[server resp_send] t=19037 ns reqId=5000007 size=41B client_node_id=5
[server req_recv] t=19042 ns reqId=3000007 size=17B client_node_id=3
[server resp_send] t=19043 ns reqId=3000007 size=41B client_node_id=3
[server hand_recv] t=19125 ns reqId=7000001 size=10B client_node_id=7
[server rdma_send] t=19126 ns reqId=7000001 size=665608B client_node_id=7
[server hand_recv] t=19136 ns reqId=9000001 size=10B client_node_id=9
[server rdma_send] t=19137 ns reqId=9000001 size=665608B client_node_id=9
[server hand_recv] t=19147 ns reqId=11000001 size=10B client_node_id=11
[server rdma_send] t=19148 ns reqId=11000001 size=665608B client_node_id=11
[server req_recv] t=19512 ns reqId=4000008 size=17B client_node_id=4
[server resp_send] t=19513 ns reqId=4000008 size=41B client_node_id=4
[server hand_recv] t=19609 ns reqId=1000004 size=10B client_node_id=1
[server rdma_send] t=19610 ns reqId=1000004 size=665608B client_node_id=1
[server hand_recv] t=19620 ns reqId=2000004 size=10B client_node_id=2
[server rdma_send] t=19621 ns reqId=2000004 size=665608B client_node_id=2
[server hand_recv] t=19631 ns reqId=5000004 size=10B client_node_id=5
[server rdma_send] t=19632 ns reqId=5000004 size=665608B client_node_id=5
[server hand_recv] t=19642 ns reqId=3000004 size=10B client_node_id=3
[server rdma_send] t=19643 ns reqId=3000004 size=665608B client_node_id=3
[client req_send] t=20000 ns reqId=1000009 size=17B client_node_id=1
[client req_send] t=20000 ns reqId=2000009 size=17B client_node_id=2
[client req_send] t=20000 ns reqId=3000009 size=17B client_node_id=3
[client req_send] t=20000 ns reqId=4000009 size=17B client_node_id=4
[client req_send] t=20000 ns reqId=5000009 size=17B client_node_id=5
[client req_send] t=20000 ns reqId=6000009 size=17B client_node_id=6
[client req_send] t=20000 ns reqId=7000009 size=17B client_node_id=7
[client req_send] t=20000 ns reqId=8000009 size=17B client_node_id=8
[client req_send] t=20000 ns reqId=9000009 size=17B client_node_id=9
[client req_send] t=20000 ns reqId=10000009 size=17B client_node_id=10
[client req_send] t=20000 ns reqId=11000009 size=17B client_node_id=11
[client resp_recv] t=20563 ns reqId=4000006 size=41B client_node_id=4
[client hand_send] t=20563 ns reqId=4000006 size=10B client_node_id=4
[server hand_recv] t=20637 ns reqId=8000002 size=10B client_node_id=8
[server rdma_send] t=20638 ns reqId=8000002 size=665608B client_node_id=8
[server hand_recv] t=20675 ns reqId=10000002 size=10B client_node_id=10
[server rdma_send] t=20676 ns reqId=10000002 size=665608B client_node_id=10
[server req_recv] t=21036 ns reqId=6000007 size=17B client_node_id=6
[server resp_send] t=21037 ns reqId=6000007 size=41B client_node_id=6
[server req_recv] t=21042 ns reqId=8000007 size=17B client_node_id=8
[server resp_send] t=21043 ns reqId=8000007 size=41B client_node_id=8
[server req_recv] t=21048 ns reqId=10000007 size=17B client_node_id=10
[server resp_send] t=21049 ns reqId=10000007 size=41B client_node_id=10
[server req_recv] t=21054 ns reqId=7000007 size=17B client_node_id=7
[server resp_send] t=21055 ns reqId=7000007 size=41B client_node_id=7
[server req_recv] t=21060 ns reqId=9000007 size=17B client_node_id=9
[server resp_send] t=21061 ns reqId=9000007 size=41B client_node_id=9
[server req_recv] t=21066 ns reqId=11000007 size=17B client_node_id=11
[server resp_send] t=21067 ns reqId=11000007 size=41B client_node_id=11
[server req_recv] t=21524 ns reqId=1000008 size=17B client_node_id=1
[server resp_send] t=21525 ns reqId=1000008 size=41B client_node_id=1
[server req_recv] t=21530 ns reqId=2000008 size=17B client_node_id=2
[server resp_send] t=21531 ns reqId=2000008 size=41B client_node_id=2
[server req_recv] t=21536 ns reqId=5000008 size=17B client_node_id=5
[server resp_send] t=21537 ns reqId=5000008 size=41B client_node_id=5
[server req_recv] t=21542 ns reqId=3000008 size=17B client_node_id=3
[server resp_send] t=21543 ns reqId=3000008 size=41B client_node_id=3
[server hand_recv] t=21617 ns reqId=7000002 size=10B client_node_id=7
[server rdma_send] t=21618 ns reqId=7000002 size=665608B client_node_id=7
[server hand_recv] t=21628 ns reqId=9000002 size=10B client_node_id=9
[server rdma_send] t=21629 ns reqId=9000002 size=665608B client_node_id=9
[client resp_recv] t=21637 ns reqId=1000005 size=41B client_node_id=1
[client hand_send] t=21637 ns reqId=1000005 size=10B client_node_id=1
[server hand_recv] t=21639 ns reqId=11000002 size=10B client_node_id=11
[server rdma_send] t=21640 ns reqId=11000002 size=665608B client_node_id=11
